07:50:54; 2: yo!
07:50:56; 0: hello
07:50:57; 2: yo!
07:50:58; 1: hi
07:51:00; 2: yo!
07:51:01; 0: hello
07:51:03; 2: yo!
07:51:05; 1: hi
07:51:06; 0: hello
07:51:06; 2: yo!
07:51:09; 2: yo!
07:51:11; 0: hello
07:51:12; 1: hi
07:51:12; 2: yo!
07:51:15; 2: yo!
07:51:16; 0: hello
07:51:18; 2: yo!
07:51:19; 1: hi
07:51:21; 0: hello
07:51:21; 2: yo!
07:51:24; 2: yo!
07:51:26; 1: hi
07:51:26; 0: hello
07:51:27; 2: yo!
07:51:30; 2: yo!
07:51:31; 0: hello
07:51:33; 1: hi
07:51:33; 2: yo!
07:51:36; 0: hello
07:51:36; 2: yo!
07:51:39; 2: yo!
07:51:40; 1: hi
07:51:41; 0: hello
07:51:42; 2: yo!
07:51:45; 2: yo!
07:51:46; 0: hello
07:51:47; 1: hi
07:51:48; 2: yo!
07:51:51; 0: hello
07:51:51; 2: yo!
07:51:54; 1: hi
07:51:54; 2: yo!
07:51:56; 0: hello
07:51:57; 2: yo!
07:52:00; 2: yo!
07:52:01; 1: hi
07:52:01; 0: hello
07:52:03; 2: yo!
07:52:06; 0: hello
07:52:06; 2: yo!
07:52:08; 1: hi
07:52:09; 2: yo!
07:52:11; 0: hello
07:52:12; 2: yo!
07:52:15; 1: hi
07:52:15; 2: yo!
07:52:16; 0: hello
07:52:18; 2: yo!
07:52:21; 0: hello
07:52:21; 2: yo!
07:52:22; 1: hi
07:52:24; 2: yo!
07:52:26; 0: hello
07:52:27; 2: yo!
07:52:29; 1: hi
07:52:30; 2: yo!
07:52:31; 0: hello
07:52:33; 2: yo!
07:52:36; 1: hi
07:52:36; 0: hello
07:52:36; 2: yo!
07:52:39; 2: yo!
07:52:41; 0: hello
07:52:42; 2: yo!
07:52:43; 1: hi
